Instance,Algorithm,Representation,Residue,Time
18,Karmarkar-Karp,Karmarkar-Karp,11002,0.0
18,Repeated Random,standard,510195500,2.139341115951538
18,Hill Climbing,standard,8227846,0.45142078399658203
18,Simulated Annealing,standard,11242192,0.4676346778869629
18,Repeated Random,prepartition,82,4.756255149841309
18,Hill Climbing,prepartition,836,2.3023877143859863
18,Simulated Annealing,prepartition,80,2.320366144180298
19,Karmarkar-Karp,Karmarkar-Karp,386,0.0
19,Repeated Random,standard,191608976,1.4402241706848145
19,Hill Climbing,standard,115933514,0.3010289669036865
19,Simulated Annealing,standard,216094648,0.30881619453430176
19,Repeated Random,prepartition,64,3.454352378845215
19,Hill Climbing,prepartition,384,2.306302070617676
19,Simulated Annealing,prepartition,24,2.308082103729248
20,Karmarkar-Karp,Karmarkar-Karp,158228,0.0
20,Repeated Random,standard,787829266,2.156452178955078
20,Hill Climbing,standard,346093808,0.43834686279296875
20,Simulated Annealing,standard,596258586,0.4867861270904541
20,Repeated Random,prepartition,86,4.76984977722168
20,Hill Climbing,prepartition,14,2.401973247528076
20,Simulated Annealing,prepartition,212,2.355137825012207
21,Karmarkar-Karp,Karmarkar-Karp,101157,0.0
21,Repeated Random,standard,349794483,2.20780611038208
21,Hill Climbing,standard,686939687,0.4784543514251709
21,Simulated Annealing,standard,356461753,0.4708726406097412
21,Repeated Random,prepartition,159,4.741053342819214
21,Hill Climbing,prepartition,59,2.6725590229034424
21,Simulated Annealing,prepartition,57,2.3612253665924072
22,Karmarkar-Karp,Karmarkar-Karp,561159,0.0
22,Repeated Random,standard,1425187239,2.0565943717956543
22,Hill Climbing,standard,443540921,0.478240966796875
22,Simulated Annealing,standard,128523153,0.4745485782623291
22,Repeated Random,prepartition,107,4.79439640045166
22,Hill Climbing,prepartition,739,2.352182626724243
22,Simulated Annealing,prepartition,253,2.309596538543701
23,Karmarkar-Karp,Karmarkar-Karp,22082,0.0
23,Repeated Random,standard,278651990,2.1556906700134277
23,Hill Climbing,standard,272710806,0.4670753479003906
23,Simulated Annealing,standard,18331414,0.4540863037109375
23,Repeated Random,prepartition,156,4.112159252166748
23,Hill Climbing,prepartition,220,1.8674216270446777
23,Simulated Annealing,prepartition,12,2.3101601600646973
24,Karmarkar-Karp,Karmarkar-Karp,58918,0.0
24,Repeated Random,standard,202071654,2.182947874069214
24,Hill Climbing,standard,20261442,0.4672417640686035
24,Simulated Annealing,standard,1111255302,0.4689364433288574
24,Repeated Random,prepartition,60,4.765362977981567
24,Hill Climbing,prepartition,344,2.2881903648376465
24,Simulated Annealing,prepartition,210,2.322831153869629
25,Karmarkar-Karp,Karmarkar-Karp,2235268,0.0
25,Repeated Random,standard,17380838,2.136582136154175
25,Hill Climbing,standard,127050042,0.4660632610321045
25,Simulated Annealing,standard,160707686,0.4591515064239502
25,Repeated Random,prepartition,508,4.7377612590789795
25,Hill Climbing,prepartition,1684,2.3819186687469482
25,Simulated Annealing,prepartition,54,2.3088250160217285
26,Karmarkar-Karp,Karmarkar-Karp,8967,0.0
26,Repeated Random,standard,253287895,2.1352899074554443
26,Hill Climbing,standard,224046107,0.45192551612854004
26,Simulated Annealing,standard,91524771,0.45859742164611816
26,Repeated Random,prepartition,65,5.098358869552612
26,Hill Climbing,prepartition,1169,2.695836305618286
26,Simulated Annealing,prepartition,151,2.5456581115722656
27,Karmarkar-Karp,Karmarkar-Karp,485320,0.0
27,Repeated Random,standard,23242402,2.277353525161743
27,Hill Climbing,standard,278635096,0.4811742305755615
27,Simulated Annealing,standard,298516536,0.4935159683227539
27,Repeated Random,prepartition,42,4.917022466659546
27,Hill Climbing,prepartition,142,2.590305805206299
27,Simulated Annealing,prepartition,222,2.3309803009033203
28,Karmarkar-Karp,Karmarkar-Karp,227974,0.0
28,Repeated Random,standard,191721680,1.5927879810333252
28,Hill Climbing,standard,60202790,0.46216726303100586
28,Simulated Annealing,standard,379954552,0.5718362331390381
28,Repeated Random,prepartition,144,4.978399991989136
28,Hill Climbing,prepartition,74,2.471112012863159
28,Simulated Annealing,prepartition,104,2.3177881240844727
29,Karmarkar-Karp,Karmarkar-Karp,29173,0.0
29,Repeated Random,standard,5174131,2.1548924446105957
29,Hill Climbing,standard,164441941,0.4591968059539795
29,Simulated Annealing,standard,312436069,0.4594995975494385
29,Repeated Random,prepartition,427,3.393883466720581
29,Hill Climbing,prepartition,1763,1.5985150337219238
29,Simulated Annealing,prepartition,823,1.6340227127075195
30,Karmarkar-Karp,Karmarkar-Karp,10934,0.0
30,Repeated Random,standard,759734876,2.1895904541015625
30,Hill Climbing,standard,313423094,0.45041775703430176
30,Simulated Annealing,standard,169549990,0.4654839038848877
30,Repeated Random,prepartition,60,4.748568058013916
30,Hill Climbing,prepartition,1200,2.2805490493774414
30,Simulated Annealing,prepartition,44,2.3262245655059814
31,Karmarkar-Karp,Karmarkar-Karp,7904,0.0
31,Repeated Random,standard,361880794,2.117830514907837
31,Hill Climbing,standard,91541758,0.4589061737060547
31,Simulated Annealing,standard,364600816,0.45136404037475586
31,Repeated Random,prepartition,78,3.9352359771728516
31,Hill Climbing,prepartition,176,2.2702534198760986
31,Simulated Annealing,prepartition,156,2.489922523498535
32,Karmarkar-Karp,Karmarkar-Karp,112070,0.0
32,Repeated Random,standard,278739766,1.558736801147461
32,Hill Climbing,standard,1997055214,0.42888569831848145
32,Simulated Annealing,standard,980620530,0.44989514350891113
32,Repeated Random,prepartition,232,4.734227180480957
32,Hill Climbing,prepartition,138,2.2883644104003906
32,Simulated Annealing,prepartition,170,2.31833553314209
33,Karmarkar-Karp,Karmarkar-Karp,21265,0.0
33,Repeated Random,standard,105438623,2.141221046447754
33,Hill Climbing,standard,30019615,0.4337136745452881
33,Simulated Annealing,standard,467962625,0.4519667625427246
33,Repeated Random,prepartition,213,4.049966335296631
33,Hill Climbing,prepartition,89,1.6093287467956543
33,Simulated Annealing,prepartition,143,2.247548818588257
34,Karmarkar-Karp,Karmarkar-Karp,175985,0.0
34,Repeated Random,standard,216563907,2.0987367630004883
34,Hill Climbing,standard,1153820415,0.4273371696472168
34,Simulated Annealing,standard,465323571,0.4424171447753906
34,Repeated Random,prepartition,41,4.749783039093018
34,Hill Climbing,prepartition,853,2.257918357849121
34,Simulated Annealing,prepartition,49,2.310105085372925
35,Karmarkar-Karp,Karmarkar-Karp,1891,0.0
35,Repeated Random,standard,533908277,2.1880719661712646
35,Hill Climbing,standard,56390213,0.43636226654052734
35,Simulated Annealing,standard,17170411,0.45042848587036133
35,Repeated Random,prepartition,153,4.7157509326934814
35,Hill Climbing,prepartition,2419,2.2583489418029785
35,Simulated Annealing,prepartition,27,2.3044137954711914
36,Karmarkar-Karp,Karmarkar-Karp,155093,0.0
